Programme=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[IN],Businesses=[CAMBIUM RETAIL PRIVATE LIMITED - PC - MH - CRPL;Cambium Retail Pvt. Lt. - Mumbai - cb;Cambium Retail Pvt. Ltd.-MH],Locale=[en_IN],Currency=[INR],Reporting Range=[Custom],Viewing Range=[01/03/26 - 30/03/26],Brands=[7G03N],Report Updated=[30/03/26]
ASIN,"Product Title",Brand,"Store Code","Ordered Revenue","Ordered Units","Shipped Revenue","Shipped COGS","Shipped Units","Customer Returns"
B0GCP1J2HC,"Audio Array M8 Latest 2026 Edition 8-Channel Hybrid USB Summing Mixer (6 Analog + 2 Digital) for Recording & Live, 192kHz/24-Bit OTG, 99 DSP FX, 4 XLR Mic Inputs, Phantom Power, Hi-Z & Monitoring","Audio Array",IN,"₹2,03,364.34",30,₹0.00,₹0.00,28,9
B0CH4RNWJX,"Audio Array AM-C43 XLR to 3.5mm Professional Condenser Microphone Kit | Boom Arm, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)","Audio Array",IN,"₹2,00,788.20",95,₹0.00,₹0.00,93,21
B0B4G19R58,"Audio Array AM-C2 XLR Condenser Microphone Kit | Boom Arm, 2M Cable, Pop Filter & Mic Cover | Compatible with Audio Interface, Mixer & preamp | Recording, Podcasting, Streaming, Home Studio (Black)","Audio Array",IN,"₹1,93,239.05",60,₹0.00,₹0.00,59,6
B0CM6NTWBP,"Audio Array AI-10 Professional Live Soundcard|1Ch Mixer |Bluetooth | 3 Condenser Mic Inputs, 2 mobilephones & PC/Mac Outputs | +48V phantom power, 4 Voice Modes, Denoise, built-in FX | Gaming, Karaoke","Audio Array",IN,"₹1,77,906.94",70,₹0.00,₹0.00,70,22
B0FQBXS6Y2,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)","Audio Array",IN,"₹1,44,141.61",113,₹0.00,₹0.00,109,20
B0BPLWW72Y,"Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker)","Audio Array",IN,"₹1,35,202.60",103,₹0.00,₹0.00,100,12
B0DN6MNS1X,"Audio Array AM-C11 Pro XLR/USB Professional Dynamic Mic Kit | Premium Metal 96kHz/24bit Studio Quality | 2M XLR & USB Cables,Volume Control,Mute & Realtime Monitoring | Streaming,Gaming & podcasting","Audio Array",IN,"₹1,30,719.98",31,₹0.00,₹0.00,31,3
B0FQBX8J17,"Audio Array AH-40-SL Wired Over-Ear Headphones | 40mm Drivers, 15-22KHz, 32Ω, 105dB SPL Sound, Studio Monitoring, Gaming, Live Music Headset with 3.5mm + 6.3mm Plug Compatibility","Audio Array",IN,"₹1,19,899.80",118,₹0.00,₹0.00,118,22
B0B4KC7VBM,"Audio Array AM-C5 USB Plug & Play Conference Mic for Mac OS & Windows | Conference, Recording, Skype, Online Class with Range Upto 5M | One Touch Mute Button & Light Indicator (NOT A Speaker)","Audio Array",IN,"₹1,16,898.43",60,₹0.00,₹0.00,58,6
B0CM9HYVDM,"Audio Array AM-W18 Wireless Karaoke Speaker with Microphone | Portable Bluetooth Speaker for Singing & Gifting with Voice Changer | Upto 8+ Hours of Playback | Bluetooth v5.3, SD Card & AUX in (Pink)","Audio Array",IN,"₹1,05,925.33",105,₹0.00,₹0.00,107,11
B0CM6NVLT9,"Audio Array AI-11 USB Bluetooth Soundcard, 1Ch Mixer, Audio Interface | 2 Condenser In, 2 Out |2 Live Out+1 Accompany In | OTG for mobile and PC/MAC | Effects | Streaming, Podcasting, Gaming, Singing","Audio Array",IN,"₹1,01,555.93",78,₹0.00,₹0.00,76,19
B0DFMNGFTD,"Audio Array AM-W36 UHF Dual Wireless Premium Metal Microphone with Charging | 2X XLR Outs & 1/4"" Mix Out | 328ft/100M Range | Karaoke Singing, Wedding, Events | PA System, Amplifier, Mixer, Party Box","Audio Array",IN,"₹94,560.98",18,₹0.00,₹0.00,17,3
B0DT6T6N6B,"Audio Array AA-26 Tabletop Metal Microphone Stand | Extendable height up to 22cm | Studio Sound Recording, Streaming, Podcasting, Singing | Stylish Sturdy Metal Design to last long, flat base","Audio Array",IN,"₹87,467.31",188,₹0.00,₹0.00,192,15
B0B4K87PR4,"Audio Array AM-C10 USB Plug & Play Conference Microphone with Speaker | Omni Directional Pickup Upto 4M | Speaker and Mic Mute Buttons | Volume Control & Mute Button | Ideal for Meeting & Video Call","Audio Array",IN,"₹72,263.01",22,₹0.00,₹0.00,21,1
B0CBCB82MT,"Audio Array AM-C39 XLR to 3.5mm Condenser Microphone Kit | Tripod, 2M Cable & Foam Filter | Compatible with Audio Interface, Mixer | Recording, Podcast, Streaming, Home Studio (Black)","Audio Array",IN,"₹69,111.94",48,₹0.00,₹0.00,48,15
B0D3LZWTHV,"Audio Array AM-C45 XLR/USB Professional RGB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute Volume & Noise-Cancellation | 2M USB Cable & Metal Base | Streaming, Podcasting, Singing","Audio Array",IN,"₹68,199.92",23,₹0.00,₹0.00,25,8
B0CM9KJZWQ,"Audio Array AM-C44 XLR/USB Professional Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming, Podcasting","Audio Array",IN,"₹63,715.20",16,₹0.00,₹0.00,15,6
B0B4JRQP22,"Audio Array AA-02 3-Panel Curved Isolation Shield with Insulation, Absorption & Reflection Filter | 3/8"" and 5/8"" Universal Mic Mount for Recording Studio, Podcasts, Singing & Broadcasting","Audio Array",IN,"₹57,178.05",27,₹0.00,₹0.00,27,4
B0CH4VCD6R,"Audio Array AC-6XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (6 Meter/19.6 Feet)","Audio Array",IN,"₹55,411.00",119,₹0.00,₹0.00,115,11
B0D3M86SH1,"Audio Array AA-19BL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | Black","Audio Array",IN,"₹54,619.51",13,₹0.00,₹0.00,13,2
B0B4G763WS,"Audio Array AM-W12 UHF Dual Wireless Premium Metal Microphones | 4+ Hours Receiver Battery Backup | Range up to 60m| Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box, etc","Audio Array",IN,"₹50,833.02",15,₹0.00,₹0.00,14,2
B0FJ2JJZL3,"Audio Array Professional Studio Bundle with 24-Bit/192kHz Audio Interface, 4"" Studio Monitors, XLR Condenser Mic & Stands | for Music Production, Podcasting, Dubbing, Recording & Audio Mixing - UB-01","Audio Array",IN,"₹49,573.74",3,₹0.00,₹0.00,2,1
B0B4G5JG4P,"Audio Array AM-W14 UHF Dual Wireless Premium Metal Microphone | 2X XLR Outs & 1/4"" Mix Out | Range up to 200ft/60m | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box","Audio Array",IN,"₹44,061.02",8,₹0.00,₹0.00,9,2
B0FQBTRM28,"Audio Array AH-60-BL, 60Ω, Professional Monitoring Headphones | 53mm Drivers | 10Hz–30KHz | 105dB SPL | Closed-Back, DJ & Studio | 3m Cable with 3.5mm & 6.3mm Plugs (Blue)","Audio Array",IN,"₹42,786.40",26,₹0.00,₹0.00,26,1
B0D3Q2T5XX,"Audio Array AA-19WL RGB Low Profile Boomarm Stand with Riser | 71cm reach & 20 RGB lighting effects & Built-In Cable Management | Matte finish with Flexible adjustments | 2Kg Weight Capacity | White","Audio Array",IN,"₹42,194.91",10,₹0.00,₹0.00,10,1
B0B4G1HPL5,"Audio Array AM-C11 XLR/USB Dynamic Podcast Microphone | Built-in Monitoring | One Touch Mute and Volume Control | Premium Metal Build | 2M XLR & USB Cable | Streaming, Gaming, Podcasting, Singing","Audio Array",IN,"₹39,800.82",10,₹0.00,₹0.00,11,3
B0B4G8ZB64,"Audio Array AM-C3 XLR to TRS Dynamic Handheld Karaoke Microphone | Premium Metal Built with 3M Cable | Singing, Public Meetings, Studio Recording, Live Show, Party, Church, Wedding","Audio Array",IN,"₹39,723.55",52,₹0.00,₹0.00,54,14
B0BPM2T7BQ,"Audio Array AI-03 Professional Sound Card with Bluetooth | Podcast Production Setup with 4 mic input & 4 outputs | +48V phantom power, PC/Mac connectivity | 6-8hr Battery | Streaming, Singing & Gaming","Audio Array",IN,"₹39,650.88",12,₹0.00,₹0.00,13,2
B0FF9R3GKK,"Audio Array AM-C47 RGB USB Condenser Mic Kit | AI Noise Cancellation, 192kHz/24Bit Studio Quality, Touch Control, Headphone Monitoring | Podcasting, YouTube, Gaming & Streaming | Mac/PC & Mobile","Audio Array",IN,"₹39,435.59",16,₹0.00,₹0.00,13,1
B0DFMMTWLY,"Audio Array AM-W33 UHF Metal Solo Wireless Microphone Set | 2000mAh 6-8 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box","Audio Array",IN,"₹38,836.77",24,₹0.00,₹0.00,24,18
B0B4G8PH2P,"Audio Array AA-01 Suspension Boom Scissor Microphone Stand | Double Layer Mesh Pop Filter | 70cm Sturdy Boom Arm with 1.8kg Capacity | 5/8"" to 3/8"" Screw Adapter | Mic Holder, Foam Cover, Cable Ties","Audio Array",IN,"₹38,244.92",21,₹0.00,₹0.00,21,1
B0CF5SHL15,"Audio Array AA-22 Desktop Mount Speaker Stands | 15KG Capacity | Height, Tilt & Rotation Adjustable | Smart Cable Management | for Sound Editing, Gaming, Music Production | Red (Set of 2)","Audio Array",IN,"₹34,482.21",11,₹0.00,₹0.00,12,
B0FJ8PZ9H7,"Audio Array Pro Podcasting Bundle | Audio Interface with 48V Phantom Power & Dual USB/XLR Touch-Control Mics | 192kHz/24bit, Mute, Monitor, Volume Control | Recording, Streaming & Podcasting - PB-04","Audio Array",IN,"₹34,065.23",3,₹0.00,₹0.00,3,
B0DFMLS8JG,"Audio Array AM-W32 UHF Dual Wireless Premium Metal Microphones | 1200mAh 6-8 Hours Receiver Battery Backup | Range up to 60M | Karaoke Singing, Wedding, DJ, Events | Built in Volume and Echo Controls","Audio Array",IN,"₹33,429.59",10,₹0.00,₹0.00,11,2
B0BLJVJ2GN,"Audio Array AA-05 Suspension Boom Scissor Microphone Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations","Audio Array",IN,"₹31,914.37",56,₹0.00,₹0.00,58,5
B0B4G7VWXD,"Audio Array AA-04 Metal Spider Shock Mount for Condenser Microphone | Anti Vibration, Suspension, Isolation | 4 Size Bottom Screws & Extra Replacement Elastic Bands | Recommended For Rode, Samson, etc","Audio Array",IN,"₹31,676.31",22,₹0.00,₹0.00,21,7
B0CBC7QMNV,"Audio Array AM-C11X XLR Dynamic Microphone | Studio-quality Audio Output | Cardioid Polar Pattern | Premium Metal Build | 2 Meter XLR cable | for Streaming, Gaming, Podcasting, Singing | 2 Yr Warranty","Audio Array",IN,"₹30,923.71",10,₹0.00,₹0.00,9,2
B0G4DNF8RZ,"Audio Array AM-C48 XLR/USB Professional Full RGB Dynamic Microphone Kit | AI Noise Cancellation | Touch & Knob Controls | Built-in Headphone Monitoring | Podcasting, Recording, Streaming, YouTube","Audio Array",IN,"₹30,753.36",11,₹0.00,₹0.00,11,1
B0G3B677Z5,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-03","Audio Array",IN,"₹29,064.42",3,₹0.00,₹0.00,3,1
B0BQ7H7418,"Audio Array AA-06 Microphone Boom Arm with 35cm+35cm=70cm Adjustable Suspension Scissor Arm Stand, Shock Mount, Base Clamp, Pop-Filter, 3/8"" to 5/8"" Universal Screw Adapter, 4x Cable Ties","Audio Array",IN,"₹28,622.03",26,₹0.00,₹0.00,26,7
B0FQBWV1ST,"Audio Array AH-60-RD Semi-Open Back DJ Headphones | 50mm Drivers Delivers Dynamic Balanced Output | 15Hz–25kHz, 32Ω, 100dB SPL, 1200mW | 3m OFC Single-Sided Cable with Screw-On 3.5mm + 6.3mm Plug","Audio Array",IN,"₹28,077.11",17,₹0.00,₹0.00,17,3
B0G53M9258,"Audio Array AI-14 8-Channel Hybrid USB Audio Mixer with 8 Analog + 2 Digital Inputs, 48kHz/16-Bit Processing, +50dB Gain, Combo XLR, Phantom Power, Hi-Z, 3-Band EQ, 99 DSP FX, Balanced XLR Output","Audio Array",IN,"₹27,538.15",5,₹0.00,₹0.00,5,1
B0FPR962YS,"Audio Array AM-W22 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube","Audio Array",IN,"₹26,938.38",9,₹0.00,₹0.00,9,
B0DN6PFWNK,"Audio Array AM-C44 Pro XLR/USB Professional Dynamic Microphone Kit | Built-in Monitoring | One Touch Mute & Volume Control | 192kHz/24bit Full Metal Build | 2M XLR & USB Cable | Streaming & Podcasting","Audio Array",IN,"₹26,435.62",6,₹0.00,₹0.00,8,2
B0G3Q59X8C,"Audio Array AM-W24 2026 Edition Magnetic Wireless 5gm Mic with Slide Charging Case for iPhone/Android/iPad, AI Noise Reduction, 30H Battery, 200ft Range, Plug & Play for Recording, Vlogging, Streaming","Audio Array",IN,"₹25,749.12",16,₹0.00,₹0.00,16,3
B0B4G94VP3,"Audio Array AA-03 Double Layer Professional Pop Filter | Flexible 360° Free Angle Adjustable, Durable Windshield | Metal Gooseneck Stabilizing Arm Holder with 32cm Arm Length | Suitable for Recording.","Audio Array",IN,"₹22,407.55",53,₹0.00,₹0.00,54,3
B0B4G1PXWV,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming","Audio Array",IN,"₹20,939.80",13,₹0.00,₹0.00,14,6
B0CM6WH4ZT,"Audio Array AI-12 USB Bluetooth Soundcard | 1Ch Mixer interface | 2 mic inputs, 2 smartphone & PC/Mac outputs | Karaoke Recording, Mobile/PC Streaming, Live Broadcasting | Singing, Recording,Gaming","Audio Array",IN,"₹18,969.51",16,₹0.00,₹0.00,16,2
B0G53KWRVW,"Audio Array AM-Mix10 10-Channel Hybrid USB Mixer with10 Analog+2 Digital Inputs, 48kHz/16-Bit DSP, Phantom Power, USB-C Powered, AUX Sends, Built-In FX, Balanced XLR Outputs for Live, Studio & Podcast","Audio Array",IN,"₹18,642.38",2,₹0.00,₹0.00,2,2
B0DFMLXD9S,"Audio Array AM-W34 UHF Dual Wireless Premium Metal Microphones | 800mAh 6-8 Hours Receiver Battery Backup | Range up to 50M | Karaoke Singing, Wedding, Church | PA System, Amplifier, Mixer, Party Box","Audio Array",IN,"₹18,639.38",6,₹0.00,₹0.00,6,
B0B4G59Y8W,"Audio Array AM-W13 UHF Wireless Premium Metal Microphone | 4+ Hours Receiver Battery Backup | Range up to 60m | Karaoke Singing, Wedding, DJ | Compatible with PA System, Amplifier, Mixer, Party Box","Audio Array",IN,"₹18,333.90",10,₹0.00,₹0.00,9,2
B0DFMKY4TT,"Audio Array AM-W35 UHF Dual Wireless Premium Karaoke Microphones | 800mah 5-6 Hours Battery Backup | Range up to 50M | Karaoke Singing, Wedding, DJ, Church | PA System, Amplifier, Mixer, Party Box","Audio Array",IN,"₹18,300.00",6,₹0.00,₹0.00,6,1
B0G3Q517Y2,"Audio Array AM-W23 Magnetic Wieless Mic with Charging Pouch 2026 Edition 24Bit/ 48Khz, iPhone/Android/iPad/Laptop, AI Noise Reduction, 50H Battery, 230ft Range for Recording, Vlogging","Audio Array",IN,"₹17,790.69",7,₹0.00,₹0.00,8,2
B0CH4PMR8K,"Audio Array AM-C41 Plug & Play AI Noise Cancellation USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Tripod, Mic Cover | Gaming, Streaming, Podcast | Mac/PC/Laptop/Mobile","Audio Array",IN,"₹16,277.06",12,₹0.00,₹0.00,12,2
B0CH4T2BJD,"Audio Array AM-C42 Plug & Play AI Noise Cancelling USB Condenser Microphone | Mute Button/Echo/Volume Knob | Kit with Boom Arm & Pop Filter | Karaoke, Gaming, Streaming, Podcast | Mac/PC/Mobile","Audio Array",IN,"₹15,667.91",8,₹0.00,₹0.00,8,
B0G53PRM34,"Audio Array AM-Mix6 6-Channel Hybrid USB Audio Mixer with 6 Analog + 2 Digital Inputs, 48kHz/16-Bit, +50dB Mic Gain, PAD Switch, Dual AUX Sends,128 DSP FX, Balanced XLR Main Output, ≥102dB Max SPL","Audio Array",IN,"₹14,405.08",2,₹0.00,₹0.00,2,2
B0CJR76Y7G,"Audio Array AA-25 Handheld Microphone Interview Adapter for Wireless Lapel Microphones | Supports, Rode Go, DJI, Hollyland mics etc | Foam Cover with Built-in Cold Shoe Mount","Audio Array",IN,"₹14,304.27",20,₹0.00,₹0.00,19,1
B0GKPXQ8G3,"Audio Array AM-W22_V2 | Latest 2026 Edition Wireless Microphone for Camera/iPhone/Android/iPad/Laptop, Lav Mic with Charging Case, AI Noise Reduction, 50H Battery, 230ft Range, for Recording, YouTube","Audio Array",IN,"₹12,948.56",4,₹0.00,₹0.00,4,
B0CBCB9S14,"Audio Array AM-C40 Large Diaphragm USB Condenser Microphone Kit | Boom Arm & Pop-Filter | 96kHz/24bit No Latency Headphone Monitoring with Mute & Volume Control Knob | Singing, Podcasting & Streaming","Audio Array",IN,"₹12,706.80",6,₹0.00,₹0.00,5,1
B0CM9L1QZG,"Audio Array AM-W16 Solo Wireless Lapel Over Ear Mic|in-Built ANC,Plug N Play,LongBattery Life,Ultra-Low Latency,Upto 30M Range|Compatible with iPhone&Android|Vlogging,Streaming,Teaching,YouTube,Black","Audio Array",IN,"₹12,575.42",11,₹0.00,₹0.00,10,3
B0CH4R1V6S,"Audio Array AM-C3a Unidirectional Dynamic Handheld Karaoke Microphone | 20Hz - 20kHz Response | Karaoke Singing, Public Meetings, Studio Recording, Live Sound, Party (no Cable Included)","Audio Array",IN,"₹12,144.97",19,₹0.00,₹0.00,20,5
B0FN7DYB2M,"Audio Array Podcast Bundle with USB Condenser Mic Kit, Audio Interface |192kHz/24bit Studio Quality, Plug & Play, Phantom Power, Real-Time Monitoring for Recording, Streaming & Podcasting - PB-08","Audio Array",IN,"₹11,862.72",2,₹0.00,₹0.00,2,1
B0FJ8TSQK1,"Audio Array Singing Bundle | Condenser Mic with Boom Arm & Sound Card V8 | Voice Effects, Reverb, Bluetooth | Ideal for Podcasting, Karaoke, Live Streaming, YouTube & Singing - GB-03","Audio Array",IN,"₹11,225.41",4,₹0.00,₹0.00,4,1
B0CH4RT4P8,"Audio Array AI-06 Streaming Audio Mixer Sound Card | XLR, 1/4"" & line in | PC/Phone RGB Mixer with Volume Fader, Individual Control, Mute and Monitoring, 48V Phantom Power | Stream, Podcast & Karaoke","Audio Array",IN,"₹11,183.04",4,₹0.00,₹0.00,4,
B0FTVVLNS9,"Audio Array Professional Dynamic Bundle with Headphones & Audio Interface - USB/XLR Dynamic Microphone, 24-bit/192kHz Interface, Boom Arm & Semi-Open Headphones | Plug & Play Podcast Kit - PB-12","Audio Array",IN,"₹9,950.85",1,₹0.00,₹0.00,1,
B0FN7B3KWS,"Audio Array Studio Monitor Bundle with 60W Powered Speakers & Adjustable Metal Stands | Bluetooth, HDMI ARC, USB-C, RCA Inputs | Professional Studio Monitors for Home Studio, Streaming & Gaming-UB-02","Audio Array",IN,"₹9,829.66",1,₹0.00,₹0.00,1,1
B0B4G89VQJ,"Audio Array AM-W10 Professional Dual Wireless Lapel Mics | Upto 10hr Battery & 100m Range | 2X Lapel mics, Type C Adapter for Easy Plug&Play | Volume & Mute Function | Vlogging, Streaming, YouTube","Audio Array",IN,"₹9,742.38",3,₹0.00,₹0.00,3,1
B0B4DS678Q,"Audio Array AM-C4 USB Plug & Play Condenser Microphone with Tripod, Pop-Filter & Shock Mount | for Conference, Gaming, Podcasting, Voice Over, YouTube, Skype, Zoom & Live Streaming on iOS,Windows","Audio Array",IN,"₹9,655.92",6,₹0.00,₹0.00,6,1
B0FJ2K95XT,"Audio Array Ultimate Gaming Bundle | Condenser Mic with Boom Arm & Sound Card | Streaming Kit for PC/Mobile with 14 FX, Voice Modes, Loopback, Real Time Monitoring |for YouTube & Live Stream - GB-01","Audio Array",IN,"₹9,453.39",2,₹0.00,₹0.00,2,1
B0G53LZNY3,"Audio Array AM-Mix4 OTG 4-Channel 3 Out Hybrid USB Summing Audio Mixer (4 Analog + 2 Digital), 192kHz/24-Bit OTG, 99 DSP FX, Logarithmic Faders, Balanced XLR Out, Phantom Power, Hi-Z, 3-Band EQ","Audio Array",IN,"₹9,320.34",2,₹0.00,₹0.00,2,2
B0FJ8S53GW,"Audio Array Streaming Bundle Kit | USB Condenser Mic & RGB Sound Card with Phantom Power, Voice Effects, Real-Time Monitoring | for Podcasting, Gaming, YouTube & Live Streaming - GB-05","Audio Array",IN,"₹9,320.33",2,₹0.00,₹0.00,2,1
B0CF5RRTDJ,"Audio Array AA-20 Microphone Arm Stand | 81cm Reach | Premium light weight & slick design | Flexible height & position adjustments | 1kg Weight Capacity | 5/8"" to 3/8"" Screw Adapter | Cable Ties","Audio Array",IN,"₹8,894.07",5,₹0.00,₹0.00,5,1
B0FPR7VFCH,"Audio Array AM-W19 Wireless Lavalier Microphone|192kHz/24bit |AI Noise Cancellation for iPhone/Android, 32h Charging Case, Plug & Play for Vlogging, Streaming, Meetings, Video Recording","Audio Array",IN,"₹8,470.33",5,₹0.00,₹0.00,4,2
B0G3B152FR,"Audio Array Wireless Voice Amplifier 2026 Edition | Bluetooth 5.3 |10W Speaker With Wireless Mic | For Teachers, Tour Guides |10 Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wireless","Audio Array",IN,"₹8,131.34",5,₹0.00,₹0.00,5,5
B0FJ2HZCVN,"Audio Array Ultimate Podcast Bundle | Dynamic Microphone with USB/XLR Connectivity & 24-Bit/192kHz Audio Interface | Ideal for Podcasting, Streaming, Voice Recording & Content Creation - PB-01","Audio Array",IN,"₹7,711.02",1,₹0.00,₹0.00,1,1
B0FN7C25VS,"Audio Array AM-C11X Pro XLR Podcast Mic Kit with Dynamic Microphone, 2m XLR Cable & Adjustable Boom Arm | Studio-Quality Sound, 20Hz–20kHz, All-Metal Build for Podcasting, Streaming & Recording","Audio Array",IN,"₹7,116.95",2,₹0.00,₹0.00,2,1
B0DN6LJZBR,"Audio Array AM-C45 XLR/USB Pro RGB Dynamic Microphone Kit | 192kHz/24bit Studio Quality Output | Volume Control, Mute and Noise Cancellation | Realtime Monitoring for Streaming, Gaming & podcasting","Audio Array",IN,"₹6,947.46",2,₹0.00,₹0.00,2,
B0FQJWWDVK,"Audio Array AC-3XL Mic Cable 6.35mm Jack Male to XLR 3PIN Female Cord Wire | Microphone/Guitar Cable | Black, 1pc Pack (3 Meter/10 Feet)","Audio Array",IN,"₹6,803.45",18,₹0.00,₹0.00,20,1
B0FJ2DT13L,"Audio Array All in 1 Pro Bundle | Condenser Mic with USB Bluetooth Soundcard Mixer | Complete Setup for Streaming, Podcasting, Gaming, Singing & Home Studio Recording - GB-02","Audio Array",IN,"₹6,608.48",2,₹0.00,₹0.00,1,
B0CM9P5CCK,"Audio Array AM-W17 Dual Wireless Lapel Mic|in-Built ANC, Plug N Play,Long Battery Life, Ultra-Low Latency,Upto 30M Range|Compatible with iPhone & Android|Vlogging, Streaming, Teaching,YouTube, Black","Audio Array",IN,"₹5,729.66",4,₹0.00,₹0.00,3,1
